Name,V,Type
Sapsego (SWISS),2.12,c
Dolomite,5.6,s
Schist,5.1,m
Granite,5.9,i
Comndum,10.8,M
Lunar Rock 10017,1.84,l
Dolomite,4.69,s
Slate,5.39,m
Syenite,5.7,i
Periclase,9.69,M
Gjetost (Norway),1.83,c
Limestone,5.06,s
Charnockite,6.15,m
Diorite,5.78,i
Spinel,9.91,M
Provolone (Italy),1.75,c
Limestone,5.97,s
Gneiss,4.9,m
Oligoclase,6.40,i
Garnet,8.53,M
Romano (Italy),1.75,c
Greywacke,5.4,s
Marble,6.02,m
Andesite,5.23,i
Quartz,6.05,M
Cheddar (Vermont),1.72,c
Greywacke,6.06,s
Quartzite,5.6,m
Gabbro,5.8,i
Hematite,7.90,M
Emmenthal (Swiss),1.65,c
Sandstone,4.90,s
Amphibolite,6.70,m
Gabbro,6.8,i
Olivine,8.42,M
Muenster (Wisconsin),1.57,c
Eclogite,6.89,m
Norite,6.50,i
Trevorite,7.23,M
Lunar Rock 10046,1.25,l
Diabase,6.33,i
Lime,7.95,M
